width,height,samples,max_depth,focal_length_mm,fstop,focal_distance,aperture_blades,exposure,iso,threads,time_seconds,mrays_per_second
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9715
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.59,15.8536
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9151
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9520
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9856
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.77,14.2565
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.76,14.3616
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.76,14.3273
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.75,14.4087
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.78,14.2326
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.76,14.3686
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.74,14.5591
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.76,14.3993
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.75,14.4048
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.74,14.4919
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.77,14.2791
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.58,16.0190
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9716
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,1.39,18.2350
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9707
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,1.47,17.2332
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,10.11,2.5009
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,1.62,15.5832
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.51,10.0682
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.47,10.2238
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.53,9.9916
600,337,125,10,100mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.49,10.1660
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.69,9.3793
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.38,10.6339
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.66,9.4855
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.70,9.3549
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.55,9.8936
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.58,9.7859
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.88,8.7892
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.97,8.5116
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.97,8.5170
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.09,8.1813
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.09,8.1859
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.97,8.5006
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.99,8.4487
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.99,8.4481
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.89,8.7499
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.97,8.4996
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.88,8.7899
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.20,4.0763
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.29,4.0181
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.31,4.0072
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.28,4.0238
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.44,3.9227
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.58,3.8417
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.47,3.9072
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.59,3.8351
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.48,3.9014
1200,675,200,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,38.90,4.1645
1200,675,200,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,38.26,4.2337
600,337,125,10,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.58,3.8425
600,600,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.71,6.7090
600,600,125,50,80mm,f/20.0,10 units,6-blade,1/0.017,100,32,6.68,6.7398
600,600,125,50,30mm,f/20.0,10 units,6-blade,1/0.017,100,32,5.30,8.4882
600,600,125,50,10mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.09,14.5738
600,600,125,50,25mm,f/20.0,10 units,6-blade,1/0.017,100,32,5.19,8.6765
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.41,10.2016
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.33,10.4042
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.36,10.3120
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.89,11.5805
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.33,10.3966
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.91,11.5065
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.93,11.4586
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.94,11.4302
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.61,17.2455
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.93,11.4362
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.91,11.4949
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.72,12.1102
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.92,11.4732
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.91,11.5001
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.96,11.3571
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.91,11.4969
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.42,10.1741
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.50,18.0332
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.43,10.1667
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.54,9.9025
600,600,500,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,12.12,14.8538
600,600,500,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,12.23,14.7180
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.60,9.7739
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.35,10.3441
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.42,10.1713
600,600,125,50,20mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.62,9.7435
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,7.07,3.5766
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,7.06,3.5819
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,7.17,3.5233
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.84,13.7027
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.86,13.6111
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,7.16,3.5282
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,7.19,3.5134
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,7.09,3.5638
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.16,6.0709
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.19,6.0392
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.06,6.2197
600,337,125,50,120mm,f/20.0,10 units,6-blade,1/0.017,100,32,4.14,6.1013
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.18,6.0494
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.07,6.2117
600,337,500,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,13.37,7.5606
